Date	Open	High	Low	Close
Nov 04, 2016	0.030828	0.031302	0.028351	0.029864
Nov 03, 2016	0.029991	0.034175	0.028807	0.030809
Nov 02, 2016	0.031031	0.031753	0.029795	0.030017
Nov 01, 2016	0.032364	0.033373	0.031020	0.031024
Oct 31, 2016	0.034860	0.034978	0.032366	0.032366
Oct 30, 2016	0.031985	0.034966	0.030833	0.034843
Oct 29, 2016	0.035844	0.036071	0.029646	0.031622
Oct 28, 2016	0.037303	0.038164	0.034699	0.035838
Oct 27, 2016	0.038234	0.040128	0.036239	0.037283
Oct 26, 2016	0.037259	0.041320	0.036438	0.038243
Oct 25, 2016	0.036555	0.039113	0.035356	0.037241
Oct 24, 2016	0.038146	0.038363	0.035898	0.036565
Oct 23, 2016	0.036177	0.039621	0.035649	0.038010
Oct 22, 2016	0.034858	0.037459	0.034858	0.035455
Oct 21, 2016	0.034129	0.035445	0.033571	0.035032
Oct 20, 2016	0.034907	0.035546	0.033780	0.034136
Oct 19, 2016	0.036125	0.036426	0.034074	0.035142
Oct 18, 2016	0.035576	0.036909	0.034617	0.036124
Oct 17, 2016	0.035712	0.035941	0.034785	0.035561
Oct 16, 2016	0.036215	0.037096	0.035616	0.035806
Oct 15, 2016	0.037085	0.038068	0.035781	0.036206
Oct 14, 2016	0.037680	0.038981	0.037040	0.037081
Oct 13, 2016	0.037902	0.039141	0.036915	0.037674
Oct 12, 2016	0.037469	0.039066	0.036301	0.037902
Oct 11, 2016	0.039602	0.041573	0.035988	0.037493
Oct 10, 2016	0.038142	0.040645	0.037029	0.039760
Oct 09, 2016	0.037209	0.039765	0.036261	0.038135
Oct 08, 2016	0.035988	0.039082	0.035821	0.037211
Oct 07, 2016	0.035920	0.037748	0.035734	0.035982
Oct 06, 2016	0.036088	0.036410	0.035535	0.035790
Oct 05, 2016	0.035068	0.038178	0.034633	0.036090
Oct 04, 2016	0.035503	0.037805	0.035366	0.035491
Oct 03, 2016	0.034507	0.036779	0.034436	0.035501
Oct 02, 2016	0.035100	0.035254	0.034421	0.034509
Oct 01, 2016	0.036999	0.037044	0.034691	0.035099
Sep 30, 2016	0.036986	0.037542	0.036049	0.036995
Sep 29, 2016	0.035018	0.037898	0.034609	0.037135
Sep 28, 2016	0.035285	0.036189	0.034152	0.034830
Sep 27, 2016	0.035722	0.037052	0.033935	0.035283
Sep 26, 2016	0.034577	0.036391	0.033893	0.035728
Sep 25, 2016	0.036618	0.036955	0.034364	0.034575
Sep 24, 2016	0.035106	0.036616	0.034732	0.036615
Sep 23, 2016	0.035690	0.036344	0.034863	0.035117
Sep 22, 2016	0.037264	0.037997	0.034957	0.035763
Sep 21, 2016	0.038357	0.038606	0.036595	0.037247
Sep 20, 2016	0.039011	0.041217	0.037208	0.037639
Sep 19, 2016	0.038978	0.039316	0.037252	0.039006
Sep 18, 2016	0.039757	0.041052	0.037026	0.038268
Sep 17, 2016	0.039808	0.041039	0.038671	0.039767
Sep 16, 2016	0.039658	0.042295	0.039102	0.039808
Sep 15, 2016	0.045682	0.046971	0.038469	0.039674
Sep 14, 2016	0.050032	0.051671	0.044611	0.046535
Sep 13, 2016	0.041804	0.059001	0.039495	0.050024
Sep 12, 2016	0.040403	0.042600	0.038898	0.042415
Sep 11, 2016	0.042333	0.044416	0.039443	0.040406
Sep 10, 2016	0.042887	0.044932	0.040131	0.042336
Sep 09, 2016	0.042704	0.045345	0.037791	0.042888
Sep 08, 2016	0.035645	0.045221	0.035112	0.042235
Sep 07, 2016	0.034444	0.036305	0.034394	0.035642
Sep 06, 2016	0.035029	0.036050	0.033638	0.034442
Sep 05, 2016	0.037351	0.038028	0.033759	0.034844
Sep 04, 2016	0.037688	0.039299	0.035168	0.037340
Sep 03, 2016	0.036565	0.042567	0.033501	0.037620
Sep 02, 2016	0.034208	0.040719	0.034208	0.036566
Sep 01, 2016	0.033879	0.036820	0.032371	0.034206
Aug 31, 2016	0.030976	0.036563	0.030839	0.034168
Aug 30, 2016	0.031714	0.031917	0.030490	0.030961
Aug 29, 2016	0.031472	0.032970	0.031142	0.031714
Aug 28, 2016	0.031365	0.032841	0.030465	0.031472
Aug 27, 2016	0.032412	0.032487	0.031279	0.031369
Aug 26, 2016	0.032457	0.032818	0.031285	0.032432
Aug 25, 2016	0.031906	0.032764	0.030900	0.032461
Aug 24, 2016	0.033153	0.033957	0.031896	0.031906
Aug 23, 2016	0.032879	0.033781	0.032366	0.033161
Aug 22, 2016	0.032561	0.034101	0.032264	0.032883
Aug 21, 2016	0.032200	0.033541	0.032168	0.032907
Aug 20, 2016	0.032829	0.033401	0.031433	0.032798
Aug 19, 2016	0.032262	0.033259	0.031578	0.032834
Aug 18, 2016	0.032942	0.033711	0.032231	0.032240
Aug 17, 2016	0.033721	0.034479	0.032738	0.032744
Aug 16, 2016	0.033643	0.034898	0.032964	0.034025
Aug 15, 2016	0.032550	0.035662	0.031750	0.033637
Aug 14, 2016	0.034027	0.034772	0.032363	0.032555
Aug 13, 2016	0.034093	0.034290	0.033531	0.034025
Aug 12, 2016	0.034744	0.034991	0.033197	0.034097
Aug 11, 2016	0.034009	0.035214	0.034009	0.034748
Aug 10, 2016	0.034379	0.035594	0.033410	0.034091
Aug 09, 2016	0.036871	0.036874	0.033519	0.034391
Aug 08, 2016	0.035797	0.036973	0.034480	0.036867
Aug 07, 2016	0.034626	0.037434	0.034183	0.035811
Aug 06, 2016	0.033707	0.035286	0.033366	0.034625
Aug 05, 2016	0.035211	0.035825	0.033624	0.033690
Aug 04, 2016	0.033084	0.036544	0.033084	0.035210
Aug 03, 2016	0.030756	0.035206	0.030695	0.033165
Aug 02, 2016	0.035399	0.036256	0.029914	0.030354
Aug 01, 2016	0.035024	0.036602	0.034056	0.035403
Jul 31, 2016	0.037055	0.037662	0.034743	0.035042
Jul 30, 2016	0.035229	0.041490	0.035210	0.037388
Jul 29, 2016	0.035414	0.036752	0.034908	0.035228
Jul 28, 2016	0.035692	0.036454	0.034867	0.035418
Jul 27, 2016	0.036740	0.037969	0.035127	0.035690
Jul 26, 2016	0.038426	0.039267	0.035902	0.036702
Jul 25, 2016	0.039756	0.041771	0.036942	0.038802
Jul 24, 2016	0.043724	0.044465	0.039768	0.039864
Jul 23, 2016	0.037022	0.043977	0.035705	0.043277
Jul 22, 2016	0.041340	0.042032	0.035480	0.037017
