Date	Open	High	Low	Close
Nov 04, 2017	1.46	1.70	1.40	1.64
Nov 03, 2017	1.29	1.48	1.29	1.46
Nov 02, 2017	1.26	1.37	1.20	1.30
Nov 01, 2017	1.34	1.34	1.22	1.26
Oct 31, 2017	1.34	1.41	1.27	1.31
Oct 30, 2017	1.23	1.36	1.20	1.31
Oct 29, 2017	1.18	1.26	1.16	1.24
Oct 28, 2017	1.18	1.20	1.14	1.15
Oct 27, 2017	1.21	1.22	1.11	1.17
Oct 26, 2017	1.26	1.26	1.10	1.21
Oct 25, 2017	1.24	1.27	1.17	1.25
Oct 24, 2017	1.18	1.38	1.14	1.25
Oct 23, 2017	1.23	1.28	1.10	1.18
Oct 22, 2017	1.26	1.30	1.18	1.21
Oct 21, 2017	1.24	1.27	1.17	1.25
Oct 20, 2017	1.28	1.37	1.22	1.24
Oct 19, 2017	1.33	1.35	1.25	1.28
Oct 18, 2017	1.39	1.42	1.21	1.33
Oct 17, 2017	1.44	1.47	1.36	1.39
Oct 16, 2017	1.56	1.60	1.39	1.44
Oct 15, 2017	1.50	1.68	1.41	1.56
Oct 14, 2017	1.47	1.54	1.41	1.54
Oct 13, 2017	1.34	1.51	1.18	1.44
Oct 12, 2017	1.43	1.44	1.28	1.34
Oct 11, 2017	1.40	1.46	1.38	1.43
Oct 10, 2017	1.43	1.47	1.34	1.39
Oct 09, 2017	1.21	1.58	1.21	1.40
Oct 08, 2017	1.58	1.60	1.22	1.22
Oct 07, 2017	1.61	1.61	1.50	1.58
Oct 06, 2017	1.68	1.71	1.53	1.58
Oct 05, 2017	1.63	1.74	1.42	1.68
Oct 04, 2017	1.85	1.86	1.52	1.60
Oct 03, 2017	1.97	2.03	1.67	1.82
Oct 02, 2017	1.53	1.98	1.51	1.96
Oct 01, 2017	1.28	1.53	1.26	1.53
Sep 30, 2017	1.27	1.31	1.23	1.28
Sep 29, 2017	1.37	1.37	1.14	1.27
Sep 28, 2017	1.15	1.43	1.15	1.38
Sep 27, 2017	0.855698	1.20	0.855698	1.14
Sep 26, 2017	0.918922	0.940082	0.859212	0.860747
Sep 25, 2017	0.784244	0.936568	0.773316	0.917059
Sep 24, 2017	0.775804	0.788347	0.736221	0.783268
Sep 23, 2017	0.717196	0.777400	0.707845	0.770965
Sep 22, 2017	0.698871	0.740154	0.683260	0.715893
Sep 21, 2017	0.764013	0.781775	0.684281	0.702140
Sep 20, 2017	0.815032	0.816384	0.743676	0.747890
