"","TC_1_1.1","TC_1_1.2","TC_1_1.3","TC_1_1.4","TC_1_1.5","TC_1_1.6","TC_1_1.7","TC_1_1.8","TC_1_1.9","TC_1_1.10","TC_1_1.11","TC_1_1.12","TC_1_1.13","TC_1_1.14","TC_1_1.15","TC_1_1.16","TC_1_1.17","TC_1_1.18","TC_1_1.19","TC_1_1.20","TC_1_1.21","TC_1_1.22","TC_1_1.23","TC_1_1.24","TC_1_1.25","TC_1_1.26","TC_1_1.27","TC_1_1.28","TC_1_1.29","TC_1_1.30","TC_1_1.31","TC_1_1.32","TC_1_1.33","TC_1_1.34","TC_1_1.35","TC_1_1.36","TC_1_1.37"
"19 DIC2008",1.3940,124.7400,1.5448,0.92870,10.8585,7.4498,9.8335,1.7100,2.0470,2.4309,0.9023,"_",26.3350,265.8400,4.0825,15.6466,30.2300,"_",0.7081,3.9313,1.9558,65.5880,2.1190,3.4528,10.8035,2.0329,13.6085,1832.9000,9.5440,7.2372,15438.5500,4.8379,65.3800,38.9660,48.0930,18.3241,3.3024
"22 DIC2008",1.3970,125.6600,1.5367,0.94320,10.8335,7.4527,9.8550,1.6763,2.0393,2.4247,0.9051,"_",26.4400,266.1200,4.0940,15.6466,30.1750,"_",0.7053,3.9305,1.9558,66.7100,2.1215,3.4528,10.8272,2.0257,13.5054,1841.3200,9.5708,7.2387,15786.1000,4.8651,66.1000,39.6405,48.2730,18.3426,3.3077
"23 DIC2008",1.3978,126.0300,1.5175,0.94395,10.9555,7.4540,9.7600,1.7041,2.0442,2.4471,0.9057,"_",26.3140,264.6000,4.0960,15.6466,30.2300,"_",0.7058,3.9525,1.9558,67.8710,2.1257,3.4528,10.8330,2.0180,13.5989,1896.6700,9.5728,7.2807,15620.4200,4.8511,66.3300,39.6624,48.3570,18.4300,3.3219
"24 DIC2008",1.4005,126.6500,1.5043,0.94930,11.2305,7.4495,9.9150,1.6984,2.0540,2.4371,0.9073,"_",26.3940,267.7600,4.0863,15.6466,30.2200,"_",0.7061,3.9754,1.9558,66.9040,2.1313,3.4528,10.8542,2.0201,13.4742,1836.4800,9.5790,7.3116,15720.6100,4.8730,66.5400,40.1930,48.4640,18.6827,3.3338
"25 DIC2008","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"26 DIC2008","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"29 DIC2008",1.4270,128.9800,1.4931,0.97855,10.9795,7.4503,9.9450,1.7408,2.0595,2.4559,0.9167,"_",26.4550,266.6400,4.1400,15.6466,30.1700,"_",0.7061,4.0649,1.9558,68.6360,2.1628,3.4528,11.0599,2.0532,13.6136,1828.4900,9.7788,7.3438,15839.7000,4.9660,67.7400,41.6925,49.9380,19.1860,3.3777
"30 DIC2008",1.4098,127.4000,1.4963,0.97420,10.9500,7.4506,9.8400,1.7331,2.0435,2.4448,0.9108,"_",26.6300,266.3300,4.1465,15.6466,30.1450,"_",0.7079,4.0202,1.9558,67.8530,2.1606,3.4528,10.9261,2.0325,13.3931,1902.4300,9.6364,7.3348,15507.8000,4.9040,67.0400,41.4035,48.9980,19.3143,3.3127
"31 DIC2008",1.3917,126.1400,1.4850,0.95250,10.8700,7.4506,9.7500,1.6998,2.0274,2.4191,0.9051,"_",26.8750,266.7000,4.1535,15.6466,30.1260,"_",0.7083,4.0225,1.9558,67.4370,2.1488,3.4528,10.7858,2.0040,13.0667,1839.1300,9.4956,7.3555,15239.1200,4.8048,65.9300,41.2830,48.2850,19.2333,3.2436
"01 ENE2009","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
